종목코드,종목명,날짜,시작가,전일가,정적_거래량,시가총액,PER,EPS,52주최고,52주최저,종가,전일대비,외국인순매수,기관순매수,개인순매수,동적_거래량,시가총액_원,PER_숫자,EPS_숫자
005930,삼성전자,20250625,"61,500","60,500","22,701,571",362873800000000,11.88,5162.0,"88,800","49,900","61,300",800,"+1,971,419","-807,968","-1,232,486","22,701,571",362873800000000,11.88,5162.0
000660,SK하이닉스,20250625,"289,000","278,500","5,162,901",208208700000000,8.02,35682.0,"291,500","144,700","286,000","7,500","+84,239","-426,172","+345,406","5,162,901",208208700000000,8.02,35682.0
207940,삼성바이오로직스,20250625,"1,000,000","1,004,000","57,537",71458700000000,55.85,17977.0,"1,209,000","722,000","1,004,000",0,"+6,247","-8,752","+1,511","57,537",71458700000000,55.85,17977.0
373220,LG에너지솔루션,20250625,"301,500","300,500","185,031",69732000000000,,4974.0,"444,000","266,000","298,000","-2,500","-34,523","-12,767","+47,383","185,031",69732000000000,,4974.0
035420,NAVER,20250625,"282,500","290,500","2,862,461",44916900000000,24.76,11452.0,"295,000","151,100","283,500","-7,000","-546,894","+163,827","+357,144","2,862,461",44916900000000,24.76,11452.0
005380,현대차,20250625,"206,500","206,000","1,786,093",44432400000000,4.73,45880.0,"299,500","175,800","217,000","11,000","+175,453","+51,705","-231,013","1,786,093",44432400000000,4.73,45880.0
034020,두산에너빌리티,20250625,"68,400","68,900","11,308,003",42148900000000,,159.0,"71,400","15,150","65,800","-3,100","-1,054,514","-449,216","+1,419,479","11,308,003",42148900000000,,159.0
105560,KB금융,20250625,"113,000","112,300","1,644,148",41770100000000,7.6,14416.0,"114,800","69,300","109,500","-2,800","-295,594","+49,437","+232,721","1,644,148",41770100000000,7.6,14416.0
005935,삼성전자우,20250625,"50,200","49,400","2,069,515",41125100000000,9.76,5162.0,"70,300","41,700","50,400","1,000","+422,133","+4,042","-425,310","2,069,515",41125100000000,9.76,5162.0
012450,한화에어로스페이스,20250625,"897,000","895,000","309,731",40485500000000,17.31,49447.0,"987,000","230,724","856,000","-39,000","-15,579","-30,749","+44,450","309,731",40485500000000,17.31,49447.0
000270,기아,20250625,"97,500","96,900","2,778,238",40204700000000,4.31,23440.0,"132,300","81,300","101,100","4,200","+284,195","+261,104","-515,349","2,778,238",40204700000000,4.31,23440.0
329180,HD현대중공업,20250625,"469,500","463,500","318,755",38793900000000,44.23,9880.0,"476,000","147,400","437,000","-26,500","-16,057","-29,665","+45,425","318,755",38793900000000,44.23,9880.0
068270,셀트리온,20250625,"161,300","161,200","380,643",35699400000000,74.27,2161.0,"194,109","144,866","160,500",-700,"-22,285","-74,450","+81,313","380,643",35699400000000,74.27,2161.0
035720,카카오,20250625,"69,400","70,400","6,399,440",30658600000000,200.58,346.0,"71,600","32,550","69,400","-1,000","+459,757","-217,819","-236,209","6,399,440",30658600000000,200.58,346.0
055550,신한지주,20250625,"61,100","61,000","3,108,925",30048000000000,6.65,9108.0,"64,600","42,500","60,600",-400,"-346,899","+92,748","+246,591","3,108,925",30048000000000,6.65,9108.0
028260,삼성물산,20250625,"163,500","162,500","714,792",28063100000000,13.18,12523.0,"174,500","108,100","165,100","2,600","+180,851","-81,250","-94,485","714,792",28063100000000,13.18,12523.0
012330,현대모비스,20250625,"285,500","285,000","397,717",27309000000000,6.56,45380.0,"302,000","200,500","297,500","12,500","-6,942","+46,251","-45,162","397,717",27309000000000,6.56,45380.0
032830,삼성생명,20250625,"130,100","128,500","289,015",25800000000000,12.17,10600.0,"133,400","73,300","129,000",500,"+22,466","-66,478","+41,981","289,015",25800000000000,12.17,10600.0
009540,HD한국조선해양,20250625,"393,500","392,000","434,574",25761400000000,17.42,20895.0,"398,500","148,800","364,000","-28,000","-49,364","-67,939","+115,136","434,574",25761400000000,17.42,20895.0
402340,SK스퀘어,20250625,"192,500","181,000","956,455",25474400000000,5.18,37069.0,"199,800","67,600","192,200","11,200","-58,106","-20,712","+63,685","956,455",25474400000000,5.18,37069.0
042660,한화오션,20250625,"88,400","87,400","3,391,991",25279100000000,36.49,2261.0,"95,800","25,400","82,500","-4,900","-860,998","-466,078","+1,307,698","3,391,991",25279100000000,36.49,2261.0
015760,한국전력,20250625,"38,400","34,100","19,546,586",24298300000000,4.62,8191.0,"38,550","18,190","37,850","3,750","-2,488,032","+1,906,833","+961,835","19,546,586",24298300000000,4.62,8191.0
086790,하나금융지주,20250625,"82,300","82,300","1,020,020",23689000000000,6.28,13252.0,"83,500","51,500","83,200",900,"-32,926","-6,502","+15,283","1,020,020",23689000000000,6.28,13252.0
011200,HMM,20250625,"23,100","22,800","1,816,170",23422200000000,4.5,5073.0,"25,350","15,570","22,850",50,"-132,606","-241,625","+360,824","1,816,170",23422200000000,4.5,5073.0
005490,POSCO홀딩스,20250625,"267,000","263,000","383,736",21811400000000,26.2,10286.0,"397,000","227,500","269,500","6,500","+44,861","-12,566","-44,946","383,736",21811400000000,26.2,10286.0
064350,현대로템,20250625,"198,900","200,000","1,551,571",20933500000000,41.12,4664.0,"220,500","37,450","191,800","-8,200","+164,425","-193,536","+34,429","1,551,571",20933500000000,41.12,4664.0
138040,메리츠금융지주,20250625,"113,200","114,100","325,884",20575700000000,9.36,12216.0,"127,400","73,500","114,300",200,"+4,625","+20,030","-24,378","325,884",20575700000000,9.36,12216.0
000810,삼성화재,20250625,"447,000","444,000","88,585",20267900000000,11.25,39171.0,"466,000","324,000","440,500","-3,500","+10,911","-14,807","+3,934","88,585",20267900000000,11.25,39171.0
267260,HD현대일렉트릭,20250625,"488,000","482,000","241,453",17915400000000,31.9,15581.0,"506,000","225,500","497,000","15,000","+69,984","-3,319","-63,006","241,453",17915400000000,31.9,15581.0
323410,카카오뱅크,20250625,"35,950","37,000","2,774,761",17457800000000,37.42,978.0,"38,750","18,490","36,600",-400,"+266,368","-55,000","-104,981","2,774,761",17457800000000,37.42,978.0
259960,크래프톤,20250625,"359,000","361,500","171,881",16918500000000,12.89,27686.0,"393,000","260,000","357,000","-4,500","-3,044","-17,163","+19,081","171,881",16918500000000,12.89,27686.0
316140,우리금융지주,20250625,"22,350","22,200","3,278,835",16708300000000,5.8,3877.0,"22,750","13,740","22,500",300,"+17,031","-46,456","+60,053","3,278,835",16708300000000,5.8,3877.0
010130,고려아연,20250625,"814,000","819,000","25,148",16355600000000,66.39,11900.0,"2,407,000","445,000","790,000","-29,000","-8,189",+956,"+7,268","25,148",16355600000000,66.39,11900.0
033780,KT&G,20250625,"123,500","124,600","290,737",15294400000000,14.11,8881.0,"127,600","84,800","125,300",700,"+73,093","-29,931","-43,844","290,737",15294400000000,14.11,8881.0
096770,SK이노베이션,20250625,"102,400","101,800","330,462",15254500000000,,20236.0,"140,200","80,800","101,000",-800,"+10,108","-17,560","+9,888","330,462",15254500000000,,20236.0
051910,LG화학,20250625,"213,500","211,000","178,210",15000900000000,,11946.0,"371,000","181,500","212,500","1,500","+5,456","-21,704","+15,851","178,210",15000900000000,,11946.0
024110,기업은행,20250625,"18,290","18,060","1,683,146",14983600000000,5.61,3351.0,"18,810","12,790","18,790",730,"-24,202","-3,136","+72,549","1,683,146",14983600000000,5.61,3351.0
034730,SK,20250625,"201,000","199,200","417,497",14681800000000,16.49,12281.0,"205,500","114,800","202,500","3,300","+52,483","+6,868","-58,103","417,497",14681800000000,16.49,12281.0
010140,삼성중공업,20250625,"17,190","17,060","7,951,547",14546400000000,99.58,166.0,"18,550","9,200","16,530",-530,"-1,315,896","-1,145,747","+2,450,998","7,951,547",14546400000000,99.58,166.0
006400,삼성SDI,20250625,"177,700","176,800","397,964",14134700000000,120.05,1461.0,"385,249","157,700","175,400","-1,400","-96,630","-46,148","+137,136","397,964",14134700000000,120.05,1461.0
018260,삼성에스디에스,20250625,"186,900","193,500","774,478",13935700000000,18.39,9791.0,"198,800","109,000","180,100","-13,400","-91,281","-87,656","+179,364","774,478",13935700000000,18.39,9791.0
006800,미래에셋증권,20250625,"22,900","22,550","7,830,793",13373900000000,17.19,1364.0,"25,350","6,600","23,450",900,"-561,977","+426,946","+859,363","7,830,793",13373900000000,17.19,1364.0
003550,LG,20250625,"86,100","84,900","444,346",13209100000000,16.62,5053.0,"91,700","58,300","84,000",-900,"-52,578","+5,936","+46,638","444,346",13209100000000,16.62,5053.0
030200,KT,20250625,"52,200","52,100","227,027",13205900000000,20.87,2511.0,"54,300","35,850","52,400",300,"-3,857","-6,448",+414,"227,027",13205900000000,20.87,2511.0
352820,하이브,20250625,"312,000","312,500","243,590",12933000000000,247.21,1256.0,"316,000","157,700","310,500","-2,000","+97,530","-31,155","+18,701","243,590",12933000000000,247.21,1256.0
