날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2024-02-01,005930,73600.0,상승  900,73000.0,74200.0,72900.0,19881033.0
2024-02-01,000660,132700.0,"하락  2,000",133100.0,135600.0,131700.0,3778274.0
2024-02-01,207940,829000.0,"하락  11,000",829000.0,835000.0,816000.0,86022.0
2024-02-01,373220,381500.0,상승  500,378000.0,383000.0,373000.0,232165.0
2024-02-01,035420,202500.0,"상승  2,000",199500.0,202500.0,198600.0,818613.0
2024-02-01,034020,15380.0,하락  60,15440.0,15580.0,15210.0,1935366.0
2024-02-01,105560,61300.0,"상승  4,700",58700.0,61500.0,57700.0,4269503.0
2024-02-01,012450,132600.0,"하락  5,500",135600.0,139300.0,131500.0,444246.0
2024-02-01,005380,208000.0,"상승  13,400",193900.0,209000.0,193500.0,2855056.0
2024-02-01,329180,112800.0,"하락  1,300",114300.0,114400.0,111200.0,205257.0
2024-02-01,005935,59700.0,"상승  1,000",58600.0,59900.0,58500.0,1291675.0
2024-02-01,000270,106300.0,"상승  3,400",102800.0,106800.0,101600.0,3751067.0
2024-02-01,068270,178700.0,"하락  1,000",177700.0,179800.0,173700.0,626055.0
2024-02-01,035720,52700.0,상승  200,51900.0,53100.0,51500.0,1422821.0
2024-02-01,055550,42500.0,"상승  1,650",41150.0,42500.0,41000.0,5403853.0
2024-02-01,009540,114700.0,"상승  1,200",112500.0,115900.0,112000.0,160045.0
2024-02-01,028260,148700.0,"상승  10,700",140100.0,148800.0,137100.0,2463952.0
2024-02-01,042660,22050.0,상승  100,21800.0,22100.0,21650.0,435111.0
2024-02-01,012330,219500.0,"상승  9,500",208000.0,222500.0,208000.0,598932.0
2024-02-01,032830,76000.0,"상승  6,700",69300.0,76800.0,68900.0,1833912.0
2024-02-01,402340,53600.0,"상승  1,700",52000.0,54000.0,51500.0,949791.0
2024-02-01,086790,52000.0,"상승  4,200",48150.0,52200.0,47900.0,5443718.0
2024-02-01,011200,19030.0,하락  260,19230.0,19230.0,18920.0,1242433.0
2024-02-01,015760,20400.0,상승  630,19720.0,20550.0,19660.0,3649060.0
2024-02-01,064350,27500.0,하락  850,28100.0,28650.0,27400.0,1344043.0
2024-02-01,005490,437000.0,"상승  11,000",422500.0,440000.0,417000.0,685759.0
2024-02-01,138040,70000.0,"상승  1,500",69000.0,70900.0,68500.0,952617.0
2024-02-01,000810,289500.0,"상승  25,500",267000.0,298000.0,265000.0,315038.0
2024-02-01,323410,26850.0,하락  450,26800.0,27250.0,26500.0,1088283.0
2024-02-01,267260,99200.0,"하락  3,500",101900.0,102600.0,97500.0,339798.0
2024-02-01,259960,214000.0,하락  500,212000.0,217500.0,208500.0,99007.0
2024-02-01,010130,475000.0,"상승  1,500",467500.0,477500.0,466000.0,26449.0
2024-02-01,316140,14410.0,상승  530,13910.0,14490.0,13880.0,6228659.0
2024-02-01,096770,121200.0,"상승  4,100",116300.0,121500.0,116300.0,353237.0
2024-02-01,033780,92600.0,"상승  2,000",89400.0,93100.0,89300.0,538265.0
2024-02-01,010140,7140.0,하락  170,7270.0,7310.0,7100.0,6361978.0
2024-02-01,018260,154800.0,"상승  2,800",150900.0,156100.0,150000.0,305166.0
2024-02-01,051910,430000.0,"하락  4,500",426500.0,433000.0,417000.0,312842.0
2024-02-01,034730,197000.0,"상승  13,500",182600.0,198300.0,180900.0,984636.0
2024-02-01,024110,13130.0,상승  610,12530.0,13240.0,12530.0,6650623.0
2024-02-01,006400,377500.0,"상승  5,000",369000.0,379500.0,366000.0,305271.0
2024-02-01,003550,88100.0,"상승  6,100",81800.0,93700.0,81200.0,1805465.0
2024-02-01,030200,36900.0,"상승  1,500",35100.0,37000.0,35100.0,1912993.0
2024-02-01,352820,199000.0,"하락  2,500",200500.0,203000.0,195800.0,270877.0
2024-02-01,006800,8290.0,상승  420,7830.0,8300.0,7830.0,2665240.0
2024-02-01,066570,95100.0,"상승  1,600",92600.0,95600.0,92500.0,680461.0
2024-02-01,377300,46400.0,하락  950,46550.0,47300.0,45300.0,236581.0
2024-02-01,017670,50800.0,상승  600,50200.0,50800.0,50200.0,795709.0
2024-02-01,079550,105400.0,상승  300,104500.0,107900.0,104300.0,183940.0
2024-02-01,272210,15110.0,하락  340,15350.0,15500.0,14960.0,1436723.0
