날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2025-05-19,005930,55800.0,"하락  1,000",56400.0,56400.0,55500.0,9802105.0
2025-05-19,000660,199400.0,"하락  5,100",203000.0,203000.0,197500.0,2482673.0
2025-05-19,207940,1028000.0,"상승  26,000",1002000.0,1042000.0,1002000.0,78071.0
2025-05-19,373220,291500.0,"상승  1,000",291500.0,297000.0,290500.0,158255.0
2025-05-19,035420,185400.0,"하락  2,400",187600.0,188200.0,184500.0,262018.0
2025-05-19,034020,34600.0,상승  300,34900.0,35000.0,33750.0,9332808.0
2025-05-19,105560,95000.0,"상승  1,400",94400.0,95800.0,93500.0,971610.0
2025-05-19,012450,839000.0,"하락  2,000",832000.0,854000.0,825000.0,109527.0
2025-05-19,005380,191000.0,"하락  2,800",193000.0,193000.0,190000.0,378893.0
2025-05-19,329180,423500.0,"상승  4,000",415000.0,423500.0,412500.0,119043.0
2025-05-19,005935,46100.0,하락  600,46250.0,46350.0,45700.0,676562.0
2025-05-19,000270,91500.0,하락  500,91300.0,91900.0,90800.0,555859.0
2025-05-19,068270,154000.0,보합0,152300.0,154300.0,152200.0,447714.0
2025-05-19,035720,36450.0,하락  950,37150.0,37200.0,36350.0,1389926.0
2025-05-19,055550,52100.0,상승  300,51800.0,52800.0,51700.0,761439.0
2025-05-19,009540,288000.0,"상승  1,000",284000.0,292000.0,283000.0,116261.0
2025-05-19,028260,122400.0,"하락  1,500",122400.0,123300.0,119700.0,188011.0
2025-05-19,042660,78900.0,"하락  2,300",80100.0,81900.0,78400.0,1732321.0
2025-05-19,012330,249500.0,"하락  5,500",252500.0,253500.0,247000.0,89127.0
2025-05-19,032830,89000.0,"상승  4,700",84400.0,90400.0,84200.0,435000.0
2025-05-19,402340,99800.0,"하락  2,800",101600.0,102900.0,98900.0,245738.0
2025-05-19,086790,66400.0,상승  400,65800.0,67100.0,65700.0,538450.0
2025-05-19,011200,22550.0,하락  400,22600.0,23100.0,22350.0,1788049.0
2025-05-19,015760,28400.0,상승  400,28100.0,29350.0,27900.0,5979148.0
2025-05-19,064350,109000.0,"하락  4,900",111800.0,114100.0,108100.0,838060.0
2025-05-19,005490,245500.0,"하락  2,000",243500.0,246500.0,243500.0,155028.0
2025-05-19,138040,111400.0,"하락  1,400",111000.0,113100.0,110700.0,227357.0
2025-05-19,000810,371500.0,"상승  1,500",369500.0,377500.0,369000.0,70490.0
2025-05-19,323410,22400.0,하락  850,23000.0,23050.0,22000.0,497510.0
2025-05-19,267260,350500.0,"하락  14,500",360500.0,361500.0,345500.0,211217.0
2025-05-19,259960,370500.0,"하락  12,000",378500.0,379000.0,367500.0,111417.0
2025-05-19,010130,794000.0,"하락  27,000",813000.0,822000.0,783000.0,13147.0
2025-05-19,316140,17840.0,하락  200,17950.0,18110.0,17830.0,947128.0
2025-05-19,096770,87700.0,상승  300,87100.0,89500.0,87000.0,231502.0
2025-05-19,033780,118000.0,"하락  1,700",118700.0,120300.0,117400.0,265046.0
2025-05-19,010140,14300.0,하락  250,14410.0,14590.0,14180.0,4276119.0
2025-05-19,018260,132800.0,"상승  3,400",130200.0,133500.0,129500.0,170737.0
2025-05-19,051910,195800.0,"상승  2,200",193000.0,200500.0,193000.0,333557.0
2025-05-19,034730,138700.0,"상승  1,600",136600.0,140200.0,136600.0,143607.0
2025-05-19,024110,15310.0,하락  150,15460.0,15460.0,15210.0,693672.0
2025-05-19,006400,169400.0,"상승  4,700",163400.0,173300.0,163400.0,490511.0
2025-05-19,003550,68200.0,하락  400,68100.0,68800.0,67700.0,77165.0
2025-05-19,030200,52000.0,상승  600,51500.0,52100.0,51400.0,206552.0
2025-05-19,352820,270000.0,"하락  4,500",274000.0,277500.0,268000.0,110756.0
2025-05-19,006800,12780.0,하락  280,13060.0,13070.0,12450.0,1790220.0
2025-05-19,066570,70300.0,"하락  1,000",70600.0,71200.0,70000.0,218924.0
2025-05-19,377300,29300.0,하락  250,29350.0,29950.0,28800.0,108803.0
2025-05-19,017670,51200.0,"하락  1,000",51800.0,51900.0,51200.0,932424.0
2025-05-19,079550,402000.0,"하락  3,000",399500.0,410500.0,397000.0,103685.0
2025-05-19,272210,45300.0,"하락  2,050",46550.0,48200.0,44850.0,2592855.0
