종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,mean_close,std_close,return_1d,return_3d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
005930,2025-06-27,59200.0,59500.0,58000.0,60500.0,61300.0,60200.0,60800.0,59928.57142857143,1033.322361144293,0.009966777408637873,0.0049586776859504135,4,60800.0,상승  600,60100.0,61600.0,60000.0,17235470.0,0.026622296173044926,0.011647254575707155,0.012987012987012988,0.013333333333333334,1047916576000.0
000660,2025-06-27,246000.0,257000.0,259500.0,278500.0,286000.0,293000.0,284000.0,272000.0,16390.32815848594,-0.030716723549488054,0.019748653500897665,5,284000.0,"하락  9,000",288000.0,294500.0,281000.0,4993896.0,0.046875,-0.013888888888888888,0.035653650254668934,0.010676156583629894,1418266464000.0
207940,2025-06-27,999000.0,1016000.0,992000.0,1004000.0,1004000.0,999000.0,996000.0,1001428.5714285715,7128.557114214085,-0.003003003003003003,-0.00796812749003984,2,996000.0,"하락  3,000",1004000.0,1005000.0,993000.0,38057.0,0.01195219123505976,-0.00796812749003984,0.008955223880597015,0.0030211480362537764,37904772000.0
373220,2025-06-27,291000.0,305000.0,294000.0,300500.0,298000.0,297000.0,288000.0,296214.28571428574,5330.888044870083,-0.030303030303030304,-0.04159733777038269,2,288000.0,"하락  9,000",297500.0,297500.0,287000.0,219699.0,0.03529411764705882,-0.031932773109243695,0.031932773109243695,0.003484320557491289,63273312000.0
035420,2025-06-27,252000.0,269500.0,290000.0,290500.0,283500.0,261000.0,257500.0,272000.0,14813.121596360823,-0.013409961685823755,-0.11359724612736662,3,257500.0,"하락  3,500",263500.0,265000.0,252000.0,2316733.0,0.04933586337760911,-0.022770398481973434,0.02830188679245283,0.021825396825396824,596558747500.0
034020,2025-06-27,61000.0,60200.0,68600.0,68900.0,65800.0,64700.0,65800.0,65000.0,3130.0387948303223,0.017001545595054096,-0.04499274310595065,3,65800.0,"상승  1,100",64300.0,66500.0,63800.0,7601019.0,0.041990668740279936,0.02332814930015552,0.010526315789473684,0.03134796238244514,500147050200.0
105560,2025-06-27,106700.0,106500.0,107600.0,112300.0,109500.0,109900.0,110600.0,109014.28571428571,2000.3060990248264,0.006369426751592357,-0.015138023152270703,4,110600.0,상승  700,110000.0,112300.0,109500.0,857938.0,0.025454545454545455,0.005454545454545455,0.015138023152270703,0.01004566210045662,94887942800.0
012450,2025-06-27,934000.0,938000.0,919000.0,895000.0,856000.0,878000.0,890000.0,901428.5714285715,28009.473615991035,0.01366742596810934,-0.00558659217877095,3,890000.0,"상승  12,000",898000.0,926000.0,878000.0,334673.0,0.053452115812917596,-0.008908685968819599,0.038876889848812095,0.01366742596810934,297858970000.0
005380,2025-06-27,207000.0,210000.0,201500.0,206000.0,217000.0,209500.0,205000.0,208000.0,4527.6925690687085,-0.021479713603818614,-0.0048543689320388345,3,205000.0,"하락  4,500",211000.0,211000.0,203000.0,764378.0,0.037914691943127965,-0.02843601895734597,0.02843601895734597,0.009852216748768473,156697490000.0
329180,2025-06-27,430500.0,443000.0,433500.0,463500.0,437000.0,423500.0,422000.0,436142.85714285716,13064.98670305563,-0.0035419126328217238,-0.0895361380798274,2,422000.0,"하락  1,500",429500.0,437000.0,420500.0,183253.0,0.03841676367869616,-0.017462165308498253,0.034324942791762014,0.0035671819262782403,77332766000.0
