종목코드,종목명,날짜,종가,RSI_14,ATR_14,MA_20,EMA_20,BB_UPPER,BB_LOWER,VOL_MA_5,진단
000660,SK하이닉스,2025-07-03,279000.0,73.26,10000.0,258900.0,260751.33,305691.36,212108.64,3797474,RSI(73.3)는 과열 구간입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
024110,기업은행,2025-07-03,18970.0,81.7,448.57,17572.5,17639.46,19245.21,15899.79,912408,RSI(81.7)는 과열 구간입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
034020,두산에너빌리티,2025-07-03,62600.0,62.5,4814.29,59590.0,58809.35,73839.34,45340.66,9621682,RSI(62.5)는 중립 상태입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
329180,HD현대중공업,2025-07-03,397000.0,41.31,21535.71,427775.0,422161.84,456398.65,399151.35,166877,RSI(41.3)는 중립 상태입니다. 볼린저밴드 하단 접근: 반등 가능성. 현재 추세는 하락 중입니다.
051910,LG화학,2025-07-03,259000.0,77.6,9357.14,213250.0,216656.19,241417.73,185082.27,437215,RSI(77.6)는 과열 구간입니다. 볼린저밴드 상단 돌파: 단기 과열 가능성. 현재 추세는 상승 중입니다.
012450,한화솔루션,2025-07-03,847000.0,33.33,38357.14,901900.0,876332.49,989383.89,814416.11,242749,RSI(33.3)는 중립 상태입니다. 현재 추세는 하락 중입니다.
096770,SK이노베이션,2025-07-03,119000.0,72.92,5953.57,101950.0,104582.36,123538.54,80361.46,1416870,RSI(72.9)는 과열 구간입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
034730,SK,2025-07-03,211500.0,63.7,11635.71,199260.0,195965.96,217253.73,181266.27,544272,RSI(63.7)는 중립 상태입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
086790,하나금융지주,2025-07-03,87000.0,74.85,2557.14,81035.0,81051.25,88910.95,73159.05,1036951,RSI(74.9)는 과열 구간입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
402340,SK스퀘어,2025-07-03,175800.0,69.03,10114.29,159055.0,160147.1,202000.72,116109.28,659085,RSI(69.0)는 중립 상태입니다. 현재 추세는 상승 중입니다. 최근 변동성이 확대되고 있습니다. 단기 리스크 유의.
