날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2022-03-23,270,71800.0,상승  500,71300.0,72900.0,71300.0,1537880.0
2022-03-24,270,72100.0,상승  300,71000.0,72100.0,70900.0,950805.0
2022-03-25,270,71600.0,하락  500,72400.0,72400.0,71500.0,800304.0
2022-03-28,270,71400.0,하락  200,71000.0,71700.0,70600.0,914926.0
2022-03-29,270,71800.0,상승  400,71900.0,72600.0,71500.0,976807.0
2022-03-30,270,73700.0,"상승  1,900",72900.0,74300.0,72900.0,1715958.0
2022-03-31,270,74000.0,상승  300,73300.0,74000.0,72700.0,1058727.0
2022-04-01,270,74200.0,상승  200,73300.0,74200.0,72700.0,1152881.0
2022-04-04,270,73700.0,하락  500,74000.0,74200.0,73500.0,708434.0
2022-04-05,270,73800.0,상승  100,73600.0,74000.0,73000.0,560715.0
2022-04-06,270,76400.0,"상승  2,600",73100.0,77000.0,72800.0,2859709.0
2022-04-07,270,75900.0,하락  500,75500.0,76700.0,75500.0,1757029.0
2022-04-08,270,74900.0,"하락  1,000",75700.0,76400.0,74700.0,1135251.0
2022-04-11,270,77500.0,"상승  2,600",75200.0,78000.0,74600.0,2501703.0
2022-04-12,270,76800.0,하락  700,76900.0,77900.0,76800.0,1563310.0
2022-04-13,270,77900.0,"상승  1,100",76800.0,78300.0,76800.0,1148043.0
2022-04-14,270,76800.0,"하락  1,100",77700.0,78300.0,76800.0,1279416.0
2022-04-15,270,76700.0,하락  100,76600.0,77400.0,76100.0,731037.0
2022-04-18,270,78200.0,"상승  1,500",76300.0,78300.0,76200.0,756353.0
2022-04-19,270,78100.0,하락  100,78300.0,78800.0,77700.0,788093.0
2022-04-20,270,80100.0,"상승  2,000",78800.0,80600.0,78500.0,2398505.0
2022-04-21,270,79900.0,하락  200,80200.0,81500.0,79700.0,1634019.0
2022-04-22,270,79800.0,하락  100,79400.0,80700.0,79200.0,1246889.0
2022-04-25,270,79600.0,하락  200,78700.0,80900.0,78000.0,1920943.0
2022-04-26,270,83500.0,"상승  3,900",81900.0,84100.0,81700.0,4533506.0
2022-04-27,270,83300.0,하락  200,82400.0,83800.0,82100.0,2031855.0
2022-04-28,270,83700.0,상승  400,84200.0,84300.0,83100.0,1382712.0
2022-04-29,270,83800.0,상승  100,83500.0,83900.0,82700.0,1207682.0
2022-05-02,270,84400.0,상승  600,83500.0,84900.0,83400.0,1086745.0
2022-05-03,270,83500.0,하락  900,83800.0,84000.0,83000.0,979717.0
2022-05-04,270,83500.0,보합0,82800.0,83600.0,82800.0,863770.0
2022-05-06,270,83900.0,상승  400,83200.0,84300.0,82900.0,1370938.0
2022-05-09,270,82600.0,"하락  1,300",83300.0,83900.0,81900.0,935383.0
2022-05-10,270,84100.0,"상승  1,500",82300.0,84400.0,81800.0,1718566.0
2022-05-11,270,86100.0,"상승  2,000",83900.0,86600.0,83100.0,2547434.0
2022-05-12,270,86300.0,상승  200,86100.0,86600.0,85200.0,1959270.0
2022-05-13,270,86300.0,보합0,86200.0,87300.0,86000.0,1718335.0
2022-05-16,270,85200.0,"하락  1,100",87000.0,87000.0,84700.0,1445964.0
2022-05-17,270,85200.0,보합0,85700.0,85900.0,84700.0,1184480.0
2022-05-18,270,84500.0,하락  700,85500.0,85700.0,83900.0,1529946.0
2022-05-19,270,82100.0,"하락  2,400",83100.0,83400.0,82100.0,1297520.0
2022-05-20,270,83900.0,"상승  1,800",82700.0,84300.0,82600.0,979637.0
2022-05-23,270,84200.0,상승  300,85000.0,85000.0,82800.0,750733.0
2022-05-24,270,83300.0,하락  900,84400.0,84800.0,83200.0,680977.0
2022-05-25,270,82600.0,하락  700,83700.0,83800.0,82600.0,835944.0
